,date,sunrise,sunset,duration
1,01/01/2021,09:17:34 AM,03:32:05 PM,6h 14m 31s
2,01/02/2021,09:17:01 AM,03:33:33 PM,6h 16m 32s
3,01/03/2021,09:16:24 AM,03:35:05 PM,6h 18m 41s
4,01/04/2021,09:15:42 AM,03:36:42 PM,6h 21m 0s
5,01/05/2021,09:14:55 AM,03:38:22 PM,6h 23m 27s
6,01/06/2021,09:14:03 AM,03:40:06 PM,6h 26m 3s
7,01/07/2021,09:13:07 AM,03:41:54 PM,6h 28m 47s
8,01/08/2021,09:12:06 AM,03:43:45 PM,6h 31m 39s
9,01/09/2021,09:11:01 AM,03:45:40 PM,6h 34m 39s
10,01/10/2021,09:09:51 AM,03:47:37 PM,6h 37m 46s
11,01/11/2021,09:08:38 AM,03:49:38 PM,6h 41m 0s
12,01/12/2021,09:07:20 AM,03:51:41 PM,6h 44m 21s
13,01/13/2021,09:05:58 AM,03:53:47 PM,6h 47m 49s
14,01/14/2021,09:04:33 AM,03:55:56 PM,6h 51m 23s
15,01/15/2021,09:03:04 AM,03:58:07 PM,6h 55m 3s
16,01/16/2021,09:01:31 AM,04:00:21 PM,6h 58m 50s
17,01/17/2021,08:59:55 AM,04:02:36 PM,7h 2m 41s
18,01/18/2021,08:58:15 AM,04:04:53 PM,7h 6m 38s
19,01/19/2021,08:56:32 AM,04:07:13 PM,7h 10m 41s
20,01/20/2021,08:54:46 AM,04:09:34 PM,7h 14m 48s
21,01/21/2021,08:52:56 AM,04:11:56 PM,7h 19m 0s
22,01/22/2021,08:51:04 AM,04:14:20 PM,7h 23m 16s
23,01/23/2021,08:49:09 AM,04:16:46 PM,7h 27m 37s
24,01/24/2021,08:47:11 AM,04:19:12 PM,7h 32m 1s
25,01/25/2021,08:45:10 AM,04:21:40 PM,7h 36m 30s
26,01/26/2021,08:43:07 AM,04:24:08 PM,7h 41m 1s
27,01/27/2021,08:41:01 AM,04:26:38 PM,7h 45m 37s
28,01/28/2021,08:38:53 AM,04:29:08 PM,7h 50m 15s
